0.841471	0.067826	-0.768177	-0.897922	-0.202122	0.679509	0.936402	0.332371	-0.577240	
0.454649	0.036646	-0.415048	-0.485149	-0.109207	0.367140	0.505940	0.179582	-0.311884	
-0.350175	-0.028226	0.319674	0.373668	0.084112	-0.282775	-0.389681	-0.138315	0.240216	
-0.833050	-0.067148	0.760490	0.888937	0.200099	-0.672709	-0.927031	-0.329045	0.571463	
-0.550022	-0.044334	0.502114	0.586921	0.132116	-0.444157	-0.612073	-0.217253	0.377309	
0.238694	0.019239	-0.217903	-0.254706	-0.057335	0.192751	0.265622	0.094282	-0.163742	
0.807955	0.065125	-0.737581	-0.862158	-0.194072	0.652445	0.899105	0.319133	-0.554248	
0.634387	0.051134	-0.579130	-0.676946	-0.152380	0.512283	0.705956	0.250575	-0.435182	
-0.122434	-0.009869	0.111770	0.130648	0.029409	-0.098869	-0.136247	-0.048360	0.083989	
-0.766690	-0.061798	0.699909	0.818125	0.184159	-0.619121	-0.853184	-0.302834	0.525940	
